Project Name,Project Type,Image Name,Image ID,Split,Upload Time,Image Width,Image Height,Model Name,Metadata,GT_Class,PRED_Class,Model_Correct,PRED_Confidence,Gt-PRED JSON
New project,classification,chane_ki_dal_0060.jpeg,13396644,train,Thu May 09 2024 05:14:30 GMT+0000 (Coordinated Universal Time),2160,3840,Model-05-09-2024_1,{},chane ki dal,chane ki dal,true,0.99906236,"{""gtDefectName"":""chane ki dal"",""predDefectName"":""chane ki dal"",""predConfidence"":0.99906236}"
New project,classification,chane_ki_dal_0037.jpeg,13396647,train,Thu May 09 2024 05:14:31 GMT+0000 (Coordinated Universal Time),2160,3840,Model-05-09-2024_1,{},chane ki dal,chane ki dal,true,0.9990792,"{""gtDefectName"":""chane ki dal"",""predDefectName"":""chane ki dal"",""predConfidence"":0.9990792}"
New project,classification,chane_ki_dal_0021.jpeg,13396648,train,Thu May 09 2024 05:14:31 GMT+0000 (Coordinated Universal Time),2160,3840,Model-05-09-2024_1,{},chane ki dal,chane ki dal,true,0.99909174,"{""gtDefectName"":""chane ki dal"",""predDefectName"":""chane ki dal"",""predConfidence"":0.99909174}"
New project,classification,chane_ki_dal_0076.jpeg,13396652,dev,Thu May 09 2024 05:14:31 GMT+0000 (Coordinated Universal Time),2160,3840,Model-05-09-2024_1,{},chane ki dal,chane ki dal,true,0.9991047,"{""gtDefectName"":""chane ki dal"",""predDefectName"":""chane ki dal"",""predConfidence"":0.9991047}"
New project,classification,chane_ki_dal_0099.jpeg,13396653,train,Thu May 09 2024 05:14:32 GMT+0000 (Coordinated Universal Time),2160,3840,Model-05-09-2024_1,{},chane ki dal,chane ki dal,true,0.99907637,"{""gtDefectName"":""chane ki dal"",""predDefectName"":""chane ki dal"",""predConfidence"":0.99907637}"
New project,classification,chane_ki_dal_0083.jpeg,13396660,train,Thu May 09 2024 05:14:33 GMT+0000 (Coordinated Universal Time),2160,3840,Model-05-09-2024_1,{},chane ki dal,chane ki dal,true,0.99911386,"{""gtDefectName"":""chane ki dal"",""predDefectName"":""chane ki dal"",""predConfidence"":0.99911386}"
New project,classification,chane_ki_dal_0095.jpeg,13396661,train,Thu May 09 2024 05:14:33 GMT+0000 (Coordinated Universal Time),2160,3840,Model-05-09-2024_1,{},chane ki dal,chane ki dal,true,0.9990577,"{""gtDefectName"":""chane ki dal"",""predDefectName"":""chane ki dal"",""predConfidence"":0.9990577}"
New project,classification,chane_ki_dal_0001.jpeg,13396664,train,Thu May 09 2024 05:14:34 GMT+0000 (Coordinated Universal Time),2160,3840,Model-05-09-2024_1,{},chane ki dal,chane ki dal,true,0.99899596,"{""gtDefectName"":""chane ki dal"",""predDefectName"":""chane ki dal"",""predConfidence"":0.99899596}"
New project,classification,chane_ki_dal_0040.jpeg,13396666,train,Thu May 09 2024 05:14:34 GMT+0000 (Coordinated Universal Time),2160,3840,Model-05-09-2024_1,{},chane ki dal,chane ki dal,true,0.99909866,"{""gtDefectName"":""chane ki dal"",""predDefectName"":""chane ki dal"",""predConfidence"":0.99909866}"
New project,classification,chane_ki_dal_0056.jpeg,13396667,train,Thu May 09 2024 05:14:34 GMT+0000 (Coordinated Universal Time),2160,3840,Model-05-09-2024_1,{},chane ki dal,chane ki dal,true,0.99908495,"{""gtDefectName"":""chane ki dal"",""predDefectName"":""chane ki dal"",""predConfidence"":0.99908495}"
